iter	Passed	Remaining
0	115	115679
1	157	78824
2	205	68442
3	255	63613
4	305	60719
5	351	58255
6	398	56513
7	443	55000
8	492	54234
9	545	54050
10	596	53623
11	644	53037
12	700	53146
13	758	53403
14	813	53441
15	865	53206
16	909	52605
17	956	52205
18	1002	51744
19	1052	51576
20	1095	51059
21	1135	50486
22	1178	50041
23	1219	49581
24	1269	49520
25	1315	49273
26	1365	49218
27	1402	48695
28	1448	48485
29	1495	48341
30	1531	47874
31	1577	47711
32	1617	47388
33	1661	47194
34	1701	46904
35	1746	46760
36	1786	46484
37	1833	46420
38	1870	46083
39	1901	45645
40	1939	45372
41	1969	44918
42	2008	44690
43	2039	44319
44	2077	44087
45	2126	44099
46	2168	43966
47	2235	44345
48	2288	44422
49	2338	44436
50	2381	44307
51	2425	44221
52	2468	44111
53	2512	44019
54	2562	44030
55	2612	44039
56	2660	44020
57	2702	43896
58	2741	43717
59	2773	43458
60	2813	43304
61	2863	43322
62	2905	43209
63	2953	43196
64	2995	43092
65	3036	42972
66	3079	42886
67	3122	42802
68	3166	42727
69	3203	42557
70	3242	42429
71	3279	42269
72	3315	42103
73	3351	41939
74	3387	41775
75	3423	41616
76	3454	41414
77	3488	41236
78	3525	41106
79	3559	40935
80	3604	40896
81	3641	40763
82	3678	40644
83	3718	40547
84	3757	40452
85	3788	40267
86	3821	40101
87	3850	39904
88	3885	39768
89	3920	39639
90	3951	39467
91	3982	39306
92	4022	39228
93	4055	39091
94	4085	38922
95	4120	38797
96	4155	38687
97	4198	38642
98	4238	38573
99	4277	38498
100	4314	38405
101	4351	38308
102	4390	38236
103	4424	38122
104	4459	38013
105	4492	37886
106	4523	37755
107	4556	37634
108	4587	37502
109	4619	37377
110	4648	37228
111	4676	37081
112	4704	36929
113	4733	36784
114	4762	36652
115	4791	36514
116	4823	36400
117	4859	36320
118	4890	36204
119	4918	36070
120	4947	35942
121	4979	35834
122	5012	35739
123	5040	35607
124	5071	35501
125	5103	35401
126	5133	35286
127	5160	35158
128	5192	35061
129	5224	34966
130	5255	34861
131	5284	34749
132	5315	34653
133	5344	34542
134	5377	34455
